clean_id,loja_nome,destino,score,wine_likeness,vid,vnome
3242195,castle,D,0,0,0,""
1832419,castle and key resoration rye,E,0,0,0,""
2919775,castle and key restoration rye,E,0,0,0,""
1634532,castle barbera dalba 2023,B,0.442,5,0,""
3249975,castle basket beach set jeronimo,C2,0.390,2,0,""
3575523,castle blocks orchard series,C2,0.413,2,0,""
971546,castle brand sambal oelek chilli paste 375g,D,0,0,0,""
1477623,castle brook blanc de blancs sparkling wine 2017,A,0.580,7,1131196,castle brook — brut rose
1477629,castle brook classic cuvee english sparkling wine 2019,A,0.545,6,1131196,castle brook — brut rose
1477630,castle brook rose english sparkling wine 20162018,A,0.588,6,1131196,castle brook — brut rose
3668902,castle christmas tree ornament,D,0,0,0,""
231230,castle crown athyrium syrah,A,0.816,4,1368996,castle crown — red willow chapel block black rock vineyard athyrium syrah
231233,castle crown dry riesling,A,0.837,4,1344201,castle crown — corfu crossing vineyard dry riesling
231234,castle crown old vine riesling,A,0.843,4,1368990,castle crown — red willow vineyard old vine riesling
231231,castle crown pinot noir columbia gorge,A,0.697,4,1338435,castle crown — madrona hill pinot noir
231232,castle crown white pinot noir,A,0.851,4,1672190,castle crown — rainmaker vineyard white pinot noir
1820725,castle defense egri bikaver superior 2018,A,0.450,5,323450,la defense — corbieres
207050,castle design crystal award,C2,0.396,2,0,""
3236286,castle free nrb,A,0.450,2,5212,castle — zinfandel
405047,castle hill road chardonnay 2019,A,0.648,4,1242293,castle road — semillon chardonnay
169045,castle in the sky,A,0.558,2,1293322,castle vineyards — nectar of the gods gruner veltliner
1705925,castle in the sky joe hisaishi,D,0,0,0,""
2004039,castle island bo shine 4pk can,C2,0.387,2,0,""
2217793,castle island fiver 4pk can,C2,0.390,2,0,""
2064320,castle island gourd vibrations 4pk can,C2,0.375,2,0,""
2212233,castle island hidef 4pk can,C2,0.390,2,0,""
2270478,castle island hidef dipa4pk cans,C2,0.390,2,0,""
2212259,castle island keeper 4pk can,C2,0.390,2,0,""
2099105,castle island variety 12pk can,D,0,0,0,""
175780,castle key cask strength wheated,C2,0.390,2,0,""
2848662,castle key experimental rye series 2024,E,0,0,0,""
1710282,castle key experimental rye vdn,E,0,0,0,""
1345985,castle key experimental series rye finished in vino de naranja casks,E,0,0,0,""
513083,castle key gift box set,C2,0.390,2,0,""
1079153,castle key restoration rye,E,0,0,0,""
1387144,castle key restoration rye,E,0,0,0,""
2424159,castle key restoration rye,E,0,0,0,""
1763626,castle key restoration rye,E,0,0,0,""
3177688,castle key restoration rye,E,0,0,0,""
229059,castle key restoration rye,E,0,0,0,""
2460988,castle key restoration rye,E,0,0,0,""
1924609,castle key restoration rye single barrel,E,0,0,0,""
1922651,castle key restoration rye single barrel 2024 release,E,0,0,0,""
236106,castle key rye vdn experimental cask,E,0,0,0,""
3102033,castle key small batch wheated,C2,0.390,2,0,""
3183818,castle key small batch wheated,C2,0.390,2,0,""
1923932,castle key the woolgatherer rye finished in amburana barrels,E,0,0,0,""
2009625,castle key the woolgatherer rye finished in vermouth barrels,E,0,0,0,""
175792,castle key wheated small batch,C2,0.390,2,0,""
2909532,castle keys,A,0.525,2,5212,castle — zinfandel
3242193,castle lite,A,0.525,2,5212,castle — zinfandel
2741979,castle lite,A,0.525,2,5212,castle — zinfandel
3231242,castle lite,A,0.525,2,5212,castle — zinfandel
2684109,castle lite 4,A,0.525,2,5212,castle — zinfandel
3242194,castle lite 6pack,A,0.450,2,5212,castle — zinfandel
1735315,castle lite 6pk,A,0.450,2,5212,castle — zinfandel
2491910,castle lite 6pk btl,C2,0.413,2,0,""
2452609,castle lite 6pk btl,C2,0.413,2,0,""
3237807,castle lite can,A,0.450,2,5212,castle — zinfandel
3238208,castle lite can,A,0.450,2,5212,castle — zinfandel
3205135,castle lite can,A,0.450,2,5212,castle — zinfandel
3251311,castle lite can,A,0.450,2,5212,castle — zinfandel
3251559,castle lite can,A,0.450,2,5212,castle — zinfandel
3261752,castle lite cans,A,0.450,2,5212,castle — zinfandel
3251558,castle lite dumpies,D,0,0,0,""
3261751,castle lite dumpy,A,0.450,2,5212,castle — zinfandel
3234661,castle lite keg liq sab draught machine 7 days,C2,0.356,2,0,""
3261750,castle lite longtom,D,0,0,0,""
3235192,castle lite nrb,A,0.450,2,5212,castle — zinfandel
3247467,castle lite nrb,A,0.450,2,5212,castle — zinfandel
3248077,castle lite nrb,A,0.450,2,5212,castle — zinfandel
3254384,castle lite nrb,A,0.450,2,5212,castle — zinfandel
3242192,castle lite nrb 6pack,C2,0.413,2,0,""
3242191,castle lite nrb case,C2,0.413,2,0,""
3261120,castle lite nrb x 24,C2,0.442,2,0,""
3237750,castle lite nrbs,A,0.450,2,5212,castle — zinfandel
3237334,castle lite nrbs,A,0.450,2,5212,castle — zinfandel
1796706,castle lite single,A,0.508,2,5212,castle — zinfandel
1649394,castle lite single,A,0.508,2,5212,castle — zinfandel
1638475,castle lite singular glass bottle,C2,0.373,2,0,""
3247438,castle lite tom can,C2,0.413,2,0,""
3248035,castle lite tom can,C2,0.413,2,0,""
2399933,castle lite x 6 pk btls,C2,0.442,2,0,""
1173174,castle maltingabbey ebc 4149 125 kg,D,0,0,0,""
1173199,castle maltingacide ebc 616 125 kg,D,0,0,0,""
1173181,castle maltingarome ebc 95105 125 kg,D,0,0,0,""
1173208,castle maltingbisquit 4555 ebc 125 kg,D,0,0,0,""
1173206,castle maltingblack 12001400 ebc 125 kg,D,0,0,0,""
1173228,castle maltingcara arome 80100 ebc 125 kg,D,0,0,0,""
1173224,castle maltingcara belgium 3035 ebc 125 kg,D,0,0,0,""
1173233,castle maltingcara blond 1724 ebc 125 kg,D,0,0,0,""
