wines_unique: 2,942,304 | IDs: 1 a 2942304
Chunk size: ~196,153

Y 1: ID        1 a  196,153 |  196,153 vinhos
Y 2: ID  196,154 a  392,306 |  196,153 vinhos
Y 3: ID  392,307 a  588,459 |  196,153 vinhos
Y 4: ID  588,460 a  784,612 |  196,153 vinhos
Y 5: ID  784,613 a  980,765 |  196,153 vinhos
Y 6: ID  980,766 a 1,176,918 |  196,153 vinhos
Y 7: ID 1,176,919 a 1,373,071 |  196,153 vinhos
Y 8: ID 1,373,072 a 1,569,224 |  196,153 vinhos
Y 9: ID 1,569,225 a 1,765,377 |  196,153 vinhos
Y10: ID 1,765,378 a 1,961,530 |  196,153 vinhos
Y11: ID 1,961,531 a 2,157,683 |  196,153 vinhos
Y12: ID 2,157,684 a 2,353,836 |  196,153 vinhos
Y13: ID 2,353,837 a 2,549,989 |  196,153 vinhos
Y14: ID 2,549,990 a 2,746,142 |  196,153 vinhos
Y15: ID 2,746,143 a 2,942,304 |  196,162 vinhos
