Aqui está a classificação e extração de dados conforme solicitado:

W|cascina pennacurrado|barbera dalba carra|it|r|barbera|piedmont|dalba|2022|13.5|DOC|medio|carne vermelha, queijo|seco
W|cascina pennacurrado|barbera dalba superiore carra|it|r|barbera|piedmont|dalba|2023|14|DOC|encorpado|carne vermelha, queijo|seco
W|cascina pennacurrado|bricco lago dolcetto|it|r|dolcetto|piedmont|dalba|2023|12.5|DOC|medio|carne vermelha, queijo|seco
W|cascina pennacurrado|langhe nebbiolo bricco lago|it|r|nebbiolo|piedmont|langhe||2023|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina pennacurrado|dolcetto dalba bricco lago|it|r|dolcetto|piedmont|dalba||2022|12.5|DOC|medio|carne vermelha, queijo|seco
W|cascina pennacurrado|dolcetto dalba bricco lago|it|r|dolcetto|piedmont|dalba||2024|12.5|DOC|medio|carne vermelha, queijo|seco
W|cascina pennacurrado|langhe nebbiolo|it|r|nebbiolo|piedmont|langhe||2022|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina pennacurrado|langhe nebbiolo bricco lago|it|r|nebbiolo|piedmont|langhe||NV|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina pennacurrado|langhe nebbiolo bricco lago|it|r|nebbiolo|piedmont|langhe||2022|13.5|DOC|medio|carne vermelha, trufas|seco|=8
W|cascina pennacurrado|langhe nebbiolo bricco lago|it|r|nebbiolo|piedmont|langhe||2023|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina pennacurrado|nebbiolo dalba san sebastiano|it|r|nebbiolo|piedmont|dalba||2023|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina pennacurrado|nebbiolo dalba superiore san sebastiano|it|r|nebbiolo|piedmont|dalba||2023|14|DOC|encorpado|carne vermelha, trufas|seco
W|cascina pennacurrado|timorasso derthona|it|w|timorasso|piedmont|colli tortonesi||2023|13|DOC|medio|frutos do mar, peixe|seco
W|cascina pennacurrado|timorasso derthona|it|w|timorasso|piedmont|colli tortonesi||2024|13|DOC|medio|frutos do mar, peixe|seco
W|cascina pennacurrado|timorasso derthona|it|w|timorasso|piedmont|colli tortonesi||2024|13|DOC|medio|frutos do mar, peixe|seco|=14
W|cascina pennacurrado|timorasso derthona ep|it|w|timorasso|piedmont|colli tortonesi||2024|13|DOC|medio|frutos do mar, peixe|seco|=14
W|cascina pennacurrado|timorasso dethona|it|w|timorasso|piedmont|colli tortonesi||2023|13|DOC|medio|frutos do mar, peixe|seco|=13
W|cascina perfumo|barbera del monferrato giuditta|it|r|barbera|piedmont|monferrato||NV|13|DOC|medio|carne vermelha, queijo|seco
W|cascina perfumo|chardonnay alessandro magno|it|w|chardonnay|piedmont|||NV|13|IGT|medio|frutos do mar, peixe|seco
W|cascina perfumo|rose il danese|it|p|??|piedmont|||NV|12|IGT|leve|salada, peixe|seco
W|cascina perrone|barbera dasti|it|r|barbera|piedmont|asti||NV|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina perrone|nebbiolo monferrato|it|r|nebbiolo|piedmont|monferrato||NV|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina pian dor|bricco riella moscato dasti|it|w|moscato|piedmont|asti||2025|5.5|DOCG|leve|sobremesa, frutas|doce
W|cascina pian dor|bricco riella moscato dasti|it|w|moscato|piedmont|asti||2023|5.5|DOCG|leve|sobremesa, frutas|doce
W|cascina pian dor|bricco riella moscato dasti|it|w|moscato|piedmont|asti||NV|5.5|DOCG|leve|sobremesa, frutas|doce
W|cascina pian dor|bricco riella moscato dasti|it|w|moscato|piedmont|asti||2022|5.5|DOCG|leve|sobremesa, frutas|doce
W|cascina pian dor|muschiato moscato dolce|it|w|moscato|piedmont|||2024|5.5|DOC|leve|sobremesa, frutas|doce
W|cascina pian dor|serena sweet red wine|it|r|??|piedmont|||2023|12|IGT|medio|sobremesa, chocolate|doce
W|cascina pian dor|serena sweet red wine|it|r|??|piedmont|||2023|12|IGT|medio|sobremesa, chocolate|doce|=28
W|cascina praie|il cannetopigato|it|w|pigato|liguria|||NV|12.5|DOC|medio|frutos do mar, peixe|seco
W|cascina praie|vermentino don lisander|it|w|vermentino|liguria|||2023|13|DOC|medio|frutos do mar, peixe|seco
W|cascina preziosa|castleng nebbiolo coste della sesia|it|r|nebbiolo|piedmont|coste della sesia||2018|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina preziosa|spanna coste della sesia|it|r|nebbiolo|piedmont|coste della sesia||2020|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina preziosa|nebbiolo castleng coste della sesia|it|r|nebbiolo|piedmont|coste della sesia||2014|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina preziosa|spanna coste della sesia|it|r|nebbiolo|piedmont|coste della sesia||2018|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina principe vacca|gaia principe barbaresco|it|r|nebbiolo|piedmont|barbaresco||2019|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina principe vacca|nebbiolo langhe|it|r|nebbiolo|piedmont|langhe||2022|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina principe vacca|nebbiolo langhe ultima annata|it|r|nebbiolo|piedmont|langhe||NV|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina pugnane|barolo bussia|it|r|nebbiolo|piedmont|barolo|bussia|2017|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina pugnane|barolo bussia|it|r|nebbiolo|piedmont|barolo|bussia|2018|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina pugnane|barolo bussia|it|r|nebbiolo|piedmont|barolo|bussia|2019|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina pugnane|barolo pugnane|it|r|nebbiolo|piedmont|barolo||2017|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina pugnane|barolo pugnane|it|r|nebbiolo|piedmont|barolo||2018|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina pugnane|barolo pugnane|it|r|nebbiolo|piedmont|barolo||2019|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina pugnane|dolcetto dalba|it|r|dolcetto|piedmont|dalba||NV|12.5|DOC|medio|carne vermelha, queijo|seco
