W|castello di ama|ama|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di ama|ama|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di ama|ama|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=2
W|castello di ama|ama|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=2
W|castello di ama|ama|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=2
W|castello di ama|ama|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=2
W|??|annata|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|badia a coltibuono|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|badia a coltibuono|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=8
W|badia a coltibuono|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=8
W|badia a coltibuono|chianti classico|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|berardenga|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
W|felsina|berardenga|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|felsina|berardenga|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|felsina|berardenga|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=14
W|??|chianti classico bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|badia a coltibuono|chianti classico bio|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|brancaia|chianti classico bio|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco
W|brancaia|chianti classico bio|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|brancaia|chianti classico bio|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|chianti classico bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|chianti classico bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=21
W|dievole|chianti classico bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=21
W|dievole|chianti classico bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=21
W|dievole|chianti classico bio jeroboam|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|chianti classico bio jeroboam|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=25
W|dievole|chianti classico bio magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|chianti classico bio magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=27
W|dievole|petrignano bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|petrignano bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=29
W|dievole|petrignano bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=29
W|dievole|petrignano bio magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|petrignano bio magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=32
W|volpaia|chianti classico bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|bucciarelli|chianti classico biologico|it|r|sangiovese|toscan|chianti classico|2018|13.5|DOCG|medio|carne vermelha, queijo|seco
W|bucciarelli|chianti classico biologico|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|chianti classico biologico icea|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|renzo marinai|chianti classico biologico|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco
W|bucciarelli|chianti classico biologico riserva|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|san felice|borgo|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|san felice|borgo|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=41
W|san felice|borgo|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=41
W|san felice|borgo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|san felice|borgo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=44
W|san felice|borgo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=44
W|san felice|borgo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=44
W|san felice|borgo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=44
W|borgo scopeto|chianti classico|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
