Aqui está a classificação e extração de dados conforme solicitado:

S|moabit|krauterlikor charakter trifft krauter|de|??|??|??|??|NV|??|??|??|??|??
W|moabit|riesling trocken|de|w|riesling|mosel|??|2023|12|??|leve|frutos do mar, aves|seco
W|moabit|sekt brut nature|de|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar|brut
X
X
W|moai|gran reserva cabernet|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|moai|gran reserva malbec|cl|r|malbec|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|moai|reserve sauvignon blanc|cl|w|sauvignon blanc|casablanca valley|??|??|13|??|medio|frutos do mar, saladas|seco
X
X
W|moana park|chardonnay|nz|w|chardonnay|hawkes bay|??|??|13.5|??|medio|frango, peixe|seco
W|moana park|chardonnay|nz|w|chardonnay|hawkes bay|??|??|13.5|??|medio|frango, peixe|seco|=11
W|moana park|estate hawkes bay chardonnay|nz|w|chardonnay|hawkes bay|??|2020|13.5|??|medio|frango, peixe|seco|=11
W|moana park|estate hawkes bay rose|nz|p|??|hawkes bay|??|2020|12.5|??|leve|saladas, aperitivos|seco
W|moana park|estate sauvignon blanc|nz|w|sauvignon blanc|hawkes bay|??|2022|13|??|medio|frutos do mar, saladas|seco
W|moana park|rose|nz|p|??|hawkes bay|??|2020|12.5|??|leve|saladas, aperitivos|seco
W|moana park|syrah|nz|r|syrah|hawkes bay|??|??|13.5|??|medio|carne vermelha, queijo|seco
X
W|moana|rose|??|p|??|??|??|2014|??|??|??|??|??
X
W|moar|st magdalena|it|r|schiava|alto adige|??|??|12|DOC|leve|aperitivos, carnes brancas|seco
W|moari point estate|single vineyard pinot noir|nz|r|pinot noir|central otago|??|??|13.5|??|medio|carne de porco, cogumelos|seco
W|moet chandon|imperial brut|fr|s|champagne blend|champagne|??|NV|12|AOC|medio|aperitivos, frutos do mar|brut
W|moet chandon|imperial brut|fr|s|champagne blend|champagne|??|NV|12|AOC|medio|aperitivos, frutos do mar|brut|=23
W|moet chandon|imperial|fr|s|champagne blend|champagne|??|NV|12|AOC|medio|aperitivos, frutos do mar|brut|=23
W|moet chandon|rosa imperial|fr|s|champagne blend|champagne|??|NV|12|AOC|medio|aperitivos, frutos do mar|brut
W|mob|tinto|pt|r|??|dao|??|2012|13|DOC|medio|carne vermelha, queijo|seco
W|mob|alfrocheiro tinto|pt|r|alfrocheiro|dao|??|2019|13|DOC|medio|carne vermelha, queijo|seco
W|mob|vinha senna tinto|pt|r|??|dao|??|2020|13|DOC|medio|carne vermelha, queijo|seco
W|mob|alfrocheiro|pt|r|alfrocheiro|dao|??|2021|13|DOC|medio|carne vermelha, queijo|seco
W|mob|vinha senna branco|pt|w|??|dao|??|2021|12.5|DOC|medio|peixe, aves|seco
W|mob|montepulciano|pt|r|montepulciano|alentejo|??|2022|13|??|medio|carne vermelha, queijo|seco
W|mob|encruzado|pt|w|encruzado|dao|??|2023|12.5|DOC|medio|peixe, aves|seco
W|mob|lote 3 tinto|pt|r|??|dao|??|2023|13|DOC|medio|carne vermelha, queijo|seco
W|mob|lote 3 tinto|pt|r|??|dao|??|2023|13|DOC|medio|carne vermelha, queijo|seco|=34
W|mob|lote 3 branco|pt|w|??|dao|??|2024|12.5|DOC|medio|peixe, aves|seco
W|mob|lote 3 branco|pt|w|??|dao|??|2024|12.5|DOC|medio|peixe, aves|seco|=36
X
