Aqui está a classificação e extração de dados conforme solicitado:

W|bdao|evidencia encruzado|pt|w|encruzado|dao|??|??|13|DOC|medio|peixe, frutos do mar|seco
W|bdao|grao vasco|pt|r|??|dao|??|??|13|DOC|medio|carne vermelha, queijo|seco
W|bdao|qta carvalhais colheita|pt|r|??|dao|??|??|13|DOC|medio|carne vermelha, queijo|seco
W|bdao|qta da pellada encruzado|pt|w|encruzado|dao|??|??|13|DOC|medio|peixe, frutos do mar|seco
W|bdao|encruzado|pt|w|encruzado|dao|??|??|13|DOC|medio|peixe, frutos do mar|seco|=3
W|bdao|qtade saes|pt|r|??|dao|??|??|13|DOC|medio|carne vermelha, queijo|seco
W|bdao|quinta da falorca encruzado reserva|pt|w|encruzado|dao|??|??|13|DOC|medio|peixe, frutos do mar|seco
W|bdao|quinta de carvalhicos reserva|pt|r|??|dao|??|??|13|DOC|medio|carne vermelha, queijo|seco
W|bdao|ribeiro santo encruzado dourado|pt|w|encruzado|dao|??|??|13|DOC|medio|peixe, frutos do mar|seco
X
W|bdao|taboadella encruzado|pt|w|encruzado|dao|??|??|13|DOC|medio|peixe, frutos do mar|seco
W|bdao|grande villae|pt|r|??|dao|??|2022|13|DOC|medio|carne vermelha, queijo|seco
W|bdao|unoaked|pt|w|??|dao|??|2024|13|DOC|leve|peixe, saladas|seco
W|bdao|unoaked|pt|w|??|dao|??|2025|13|DOC|leve|peixe, saladas|seco
W|bdez|tostoes|pt|r|??|douro|??|??|13|DOC|medio|carne vermelha, queijo|seco
W|bdom martinho|??|pt|r|??|douro|??|??|13|DOC|medio|carne vermelha, queijo|seco
W|domaine dhenri|chablis 1er cru fourchaume vaulorent|fr|w|chardonnay|burgundy|chablis|??|13|AOC|medio|frutos do mar, peixe|seco
W|domaine leflaive|bourgogne|fr|w|chardonnay|burgundy|??|??|13|AOC|leve|frutos do mar, peixe|seco
W|dona berta|rabigato res|pt|w|rabigato|alentejo|??|2023|13|DOC|medio|peixe, frutos do mar|seco
