Aqui está a classificação e extração dos dados conforme solicitado:

W|domaine des marnes blanches|cotes du jura trousseau|fr|r|trousseau|jura|cotes du jura|2023|13|AOC|medio|carne vermelha, queijo|seco
W|domaine des marnes blanches|les molates savagnin|fr|w|savagnin|jura|cotes du jura|2023|13|AOC|medio|frutos do mar, peixe|seco
W|domaine des marnes blanches|pinot noir|fr|r|pinot noir|jura|cotes du jura|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des marnes blanches|poulsard|fr|r|poulsard|jura|cotes du jura|2023|12.5|AOC|leve|charcutaria, queijo|seco
W|domaine des marnes blanches|savagnin en quatre vis|fr|w|savagnin|jura|cotes du jura|2023|13|AOC|medio|frutos do mar, peixe|seco
W|domaine des marnes blanches|savagnin en quatre vis|fr|w|savagnin|jura|cotes du jura|2023|13|AOC|medio|frutos do mar, peixe|seco|=5
W|domaine des marnes blanches|savagnin les molates|fr|w|savagnin|jura|cotes du jura|2023|13|AOC|medio|frutos do mar, peixe|seco|=2
W|domaine des marrans|beaujolais villages|fr|r|gamay|beaujolais|??|2023|13|AOC|leve|charcutaria, queijo|seco
W|domaine des marrans|chiroubles aux cotes|fr|r|gamay|beaujolais|chiroubles|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des marrans|fleurie les marrans|fr|r|gamay|beaujolais|fleurie|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des marrans|morgon corcelette|fr|r|gamay|beaujolais|morgon|2023|13|AOC|encorpado|carne vermelha, queijo|seco
W|domaine des notes bleues|arbois pinot noir|fr|r|pinot noir|jura|arbois|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des pasquiers|cotes de rhone|fr|r|grenache, syrah|rhone valley|??|2023|14|AOC|medio|carne vermelha, churrasco|seco
X
W|domaine des perdrix|bourgogne rouge|fr|r|pinot noir|bourgogne|??|2023|13|AOC|leve|carne vermelha, aves|seco
W|domaine des prevelieres|beaujolais pierres dorees mont joli|fr|r|gamay|beaujolais|pierres dorees|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des roches du py|morgon cote du py reserve|fr|r|gamay|beaujolais|morgon|cote du py|2023|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|domaine des rutissons|itineraire bis rouge|fr|r|??|??|??|2023|??|??|??|??|??
W|domaine des sablonnettes menard|le rouge vin de france|fr|r|??|??|??|2023|??|??|??|??|??
W|domaine des terres dorees|beaujolais vieilles vignes lancien|fr|r|gamay|beaujolais|??|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des terres dorees|cote de brouilly|fr|r|gamay|beaujolais|cote de brouilly|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des terres dorees|morgon|fr|r|gamay|beaujolais|morgon|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des terres dorees|sur le haut des arpents|fr|r|gamay|beaujolais|??|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine des tourelles|rose|fr|p|cinsault, grenache|bekaa valley|??|2023|13|??|leve|salada, peixe|seco
X
W|domaine des tourelles|white|fr|w|viognier, chardonnay|bekaa valley|??|2023|13|??|medio|frutos do mar, peixe|seco
W|domaine des tourelles|white|fr|w|viognier, chardonnay|bekaa valley|??|2023|13|??|medio|frutos do mar, peixe|seco|=26
W|domaine des vieux pruniers|sancerre|fr|w|sauvignon blanc|loire|sancerre|2023|13|AOC|medio|frutos do mar, peixe|seco
W|domaine des vieux pruniers|sancerre rose|fr|p|pinot noir|loire|sancerre|2023|13|AOC|leve|salada, peixe|seco
W|domaine des vieux pruniers|sancerre rose|fr|p|pinot noir|loire|sancerre|2023|13|AOC|leve|salada, peixe|seco|=29
W|domaine desire petit|arbois ploussard de feule|fr|r|ploussard|jura|arbois|2023|12.5|AOC|leve|charcutaria, queijo|seco
W|domaine desire petit|arbois pupillin savagnin floral|fr|w|savagnin|jura|arbois|2023|13|AOC|medio|frutos do mar, peixe|seco
W|domaine desire petit|ploussard la bidode|fr|r|ploussard|jura|??|2023|12.5|AOC|leve|charcutaria, queijo|seco
W|domaine desire petit|savagnin floral|fr|w|savagnin|jura|??|2023|13|AOC|medio|frutos do mar, peixe|seco
W|domaine desvignes|givry 1er cru la grande berge|fr|r|pinot noir|bourgogne|givry|la grande berge|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine deugenie|batard montrachet grand cru|fr|w|chardonnay|bourgogne|batard-montrachet|2023|14|Grand Cru|encorpado|frutos do mar, peixe|seco
W|domaine deugenie|batard montrachet grand cru|fr|w|chardonnay|bourgogne|batard-montrachet|2023|14|Grand Cru|encorpado|frutos do mar, peixe|seco|=36
W|domaine deugenie|chassagne montrachet les perclos|fr|w|chardonnay|bourgogne|chassagne-montrachet|les perclos|2023|13.5|AOC|encorpado|frutos do mar, peixe|seco
