Aqui está a classificação e extração dos dados conforme solicitado:

W|domaine elodie roy|maranges sur la rue des pierres|fr|r|pinot noir|burgundy|maranges|2023|13|AOC|medio|carne vermelha, queijo|seco
W|domaine emmanuel rouget|bourgogne aligote|fr|w|aligote|burgundy|??|2023|12.5|AOC|leve|frutos do mar, salada|seco
W|domaine emmanuel rouget|bourgogne haute cote de beaune blanc|fr|w|chardonnay|burgundy|haute cote de beaune|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine emmanuel rouget|bourgogne haute cote de nuits rouge|fr|r|pinot noir|burgundy|haute cote de nuits|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine eric louis|pinot noir|fr|r|pinot noir|loire valley|??|2023|12.5|AOC|leve|salada, queijo|seco
W|domaine eric louis|rose|fr|p|gamay, pinot noir|loire valley|??|2023|12|AOC|leve|salada, frutos do mar|seco
W|domaine eric texier|chat fou|fr|r|syrah, grenache|rhone valley|??|2023|13.5|AOC|medio|carne vermelha, queijo|seco
W|domaine eric thill|cuvee adrian|fr|s|chardonnay, pinot noir|jura|??|2023|12.5|AOC|medio|aperitivo, frutos do mar|brut
W|domaine estrade|cotes de gascogne|fr|w|ugni blanc, colombard|gascony|??|2023|11.5|IGP|leve|frutos do mar, salada|seco
W|domaine etienne delarche|corton les renardes|fr|r|pinot noir|burgundy|corton|2023|13.5|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine etienne delarche|grand cru le corton|fr|r|pinot noir|burgundy|corton|2023|13.5|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine etienne delarche|pernand vergelesses les combottes|fr|w|chardonnay|burgundy|pernand vergelesses|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine etienne delarche|pernand vergelesses les combottes|fr|w|chardonnay|burgundy|pernand vergelesses|??|2023|13|AOC|medio|frango, peixe|seco=12
W|domaine etienne delarche|pernand vergelesses les combottes|fr|w|chardonnay|burgundy|pernand vergelesses|??|2023|13|AOC|medio|frango, peixe|seco=12
W|domaine etienne sauzet|batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco
W|domaine etienne sauzet|bienvenues batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|bienvenues batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco
W|domaine etienne sauzet|bourgogne blanc|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine etienne sauzet|bourgogne hautes cotes de beaune jardin du calvaire|fr|w|chardonnay|burgundy|hautes cotes de beaune|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine etienne sauzet|chassagne montrachet les encegnieres|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine etienne sauzet|jardin du calvaire bourgogne hautes cotes de beaune|fr|w|chardonnay|burgundy|hautes cotes de beaune|??|2023|12.5|AOC|leve|frango, salada|seco=18
W|domaine etienne sauzet|puligny montrachet 1er cru champ canet|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine etienne sauzet|puligny montrachet 1er cru champ gain|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine etienne sauzet|puligny montrachet 1er cru la garenne|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine etienne sauzet|puligny montrachet 1er cru les combettes|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine etienne sauzet|puligny montrachet 1er cru les folatieres|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine etienne sauzet|puligny montrachet 1er cru les perrieres|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine etienne sauzet|puligny montrachet 1er cru les referts|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine etienne sauzet|puligny montrachet 1er cru sous le puits|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine etienne sauzet|puligny montrachet|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine etienne sauzet|saint romain la perriere|fr|w|chardonnay|burgundy|saint romain|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine fabien coche|auxey duresses blanc|fr|w|chardonnay|burgundy|auxey duresses|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine fabien coche|auxey duresses blanc|fr|w|chardonnay|burgundy|auxey duresses|??|2023|13|AOC|medio|frango, peixe|seco=31
W|domaine fabien coche|auxey duresses blanc|fr|w|chardonnay|burgundy|auxey duresses|??|2023|13|AOC|medio|frango, peixe|seco=31
W|domaine fabien coche|auxey duresses blanc|fr|w|chardonnay|burgundy|auxey duresses|??|2023|13|AOC|medio|frango, peixe|seco=31
W|domaine fabien coche|auxey duresses rouge|fr|r|pinot noir|burgundy|auxey duresses|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fabien coche|auxey duresses rouge|fr|r|pinot noir|burgundy|auxey duresses|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=35
W|domaine fabien coche|auxey duresses rouge|fr|r|pinot noir|burgundy|auxey duresses|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=35
W|domaine fabien coche|bourgogne aligote|fr|w|aligote|burgundy|??|??|2023|12.5|AOC|leve|frutos do mar, salada|seco
W|domaine fabien coche|bourgogne cote dor chardonnay|fr|w|chardonnay|burgundy|cote dor|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine fabien coche|bourgogne cote dor chardonnay|fr|w|chardonnay|burgundy|cote dor|??|2023|13|AOC|medio|frango, peixe|seco=39
